iter	Logloss
0	0.6676384284
1	0.6438544089
2	0.6223531236
3	0.6053298811
4	0.5898762698
5	0.5750666708
6	0.5610753069
7	0.5501872068
8	0.5394731118
9	0.5294305919
10	0.5205194349
11	0.5111142449
12	0.5032102919
13	0.495450359
14	0.4879275592
15	0.4807603038
16	0.4748234971
17	0.4675855108
18	0.4602923363
19	0.4548487851
20	0.4491181223
21	0.4415585682
22	0.4383252894
23	0.4318952561
24	0.4284453409
25	0.4206374524
26	0.4157493616
27	0.4098111183
28	0.4076081818
29	0.4052657012
30	0.3944973954
31	0.3898719504
32	0.3815313519
33	0.3791066207
34	0.3768449641
35	0.375234779
36	0.3732016898
37	0.371231852
38	0.3674196717
39	0.360982993
40	0.3539570473
41	0.3528957785
42	0.351682724
43	0.3500802791
44	0.3483228486
45	0.3414817098
46	0.3359835
47	0.3350911721
48	0.3338800337
49	0.330025813
50	0.328094896
51	0.3273244324
52	0.3257280509
53	0.3236586824
54	0.3218698013
55	0.3205769481
56	0.3194585441
57	0.3188765887
58	0.3174168471
59	0.3168904811
60	0.3157839051
61	0.3143359176
62	0.312436307
63	0.3119979107
64	0.3111252512
65	0.3101022564
66	0.3090789808
67	0.3086765536
68	0.3079182656
69	0.3072197737
70	0.3065032768
71	0.3056867758
72	0.3053496285
73	0.3046452593
74	0.3035459421
75	0.3028146727
76	0.3021181003
77	0.3004535954
78	0.2996235594
79	0.2986091728
80	0.2959410922
81	0.2947881262
82	0.2932705103
83	0.2921930911
84	0.2912206704
85	0.2906703038
86	0.2900687485
87	0.2893921556
88	0.288494874
89	0.2876540368
90	0.2873511266
91	0.2866108723
92	0.286306596
93	0.2859674461
94	0.2854718777
95	0.2851713018
96	0.2849173841
97	0.2843372481
98	0.283656564
99	0.283200118
100	0.2829240418
101	0.2822047221
102	0.2808708873
103	0.2805824543
104	0.2799778235
105	0.2797768093
106	0.2791133245
107	0.2786840017
108	0.2773844058
109	0.276153256
110	0.2759471897
111	0.2757805579
112	0.2756485211
113	0.2752146032
114	0.274684091
115	0.2744740064
116	0.2742361929
117	0.2732457074
118	0.2727481612
119	0.2724786421
120	0.2714862788
121	0.2709221661
122	0.2701559763
123	0.2691683053
124	0.2689808212
125	0.2688521168
126	0.268416393
127	0.268250826
128	0.2678667456
129	0.2675403919
130	0.2672989376
131	0.2671485616
132	0.2667120706
133	0.2660679831
134	0.2655672238
135	0.2654177011
136	0.2653008506
137	0.2648725195
138	0.2646864613
139	0.264511224
140	0.2641216022
141	0.2626655607
142	0.2619035171
143	0.2617726847
144	0.2616123621
145	0.2612519007
146	0.2611299669
147	0.2610217267
148	0.2606544231
149	0.2604622406
150	0.260071527
151	0.2598162845
152	0.2596748947
153	0.259384651
154	0.2592263117
155	0.2590032566
156	0.2587043439
157	0.2584076583
158	0.2583153865
159	0.2579947837
160	0.2578482791
161	0.2576790932
162	0.2575479388
163	0.2572941295
164	0.2572001518
165	0.2570622641
166	0.2569838699
167	0.256793706
168	0.2566497516
169	0.2565469021
170	0.2561715927
