iter	Passed	Remaining
0	340	679802
1	548	548228
2	720	479749
3	863	431132
4	1035	413102
5	1185	394104
6	1332	379431
7	1429	355850
8	1519	336194
9	1599	318290
10	1684	304594
11	1772	293630
12	1866	285355
13	1962	278351
14	2050	271388
15	2131	264255
16	2226	259747
17	2317	255235
18	2422	252602
19	2514	248933
20	2607	245689
21	2707	243417
22	2799	240666
23	2882	237335
24	2977	235194
25	3071	233178
26	3161	231010
27	3253	229169
28	3340	227071
29	3438	225802
30	3540	224866
31	3627	223064
32	3723	221916
33	3817	220770
34	3914	219795
35	4011	218853
36	4113	218245
37	4210	217381
38	4299	216176
39	4396	215414
40	4490	214553
41	4581	213592
42	4666	212400
43	4750	211192
44	4839	210263
45	4933	209554
46	5026	208846
47	5104	207578
48	5184	206428
49	5266	205396
50	5351	204493
51	5436	203648
52	5533	203287
53	5616	202394
54	5705	201763
55	5792	201075
56	5884	200605
57	5985	200404
58	6078	199960
59	6169	199488
60	6258	198939
61	6359	198791
62	6448	198268
63	6535	197688
64	6629	197343
65	6721	196967
66	6814	196605
67	6914	196458
68	7003	196003
69	7088	195451
70	7179	195065
71	7272	194746
72	7350	194039
73	7440	193647
74	7524	193133
75	7615	192799
76	7709	192543
77	7798	192166
78	7888	191828
79	7982	191575
80	8075	191308
81	8166	191010
82	8255	190675
83	8348	190433
84	8443	190229
85	8541	190094
86	8635	189875
87	8739	189886
88	8838	189770
89	8938	189700
90	9023	189300
91	9106	188861
92	9190	188457
93	9281	188197
94	9369	187884
95	9456	187553
96	9543	187236
97	9637	187041
98	9727	186791
99	9811	186420
100	9924	186599
101	10010	186275
102	10095	185940
103	10169	185406
104	10262	185205
105	10347	184883
106	10436	184639
107	10519	184286
108	10613	184137
109	10708	183999
110	10800	183808
111	10911	183929
112	11002	183726
113	11082	183355
114	11173	183154
115	11262	182912
116	11347	182625
117	11431	182330
118	11512	181969
119	11596	181684
120	11685	181467
121	11770	181192
122	11866	181089
123	11962	180975
124	12048	180733
125	12135	180494
126	12229	180368
127	12324	180245
128	12409	179990
129	12493	179717
130	12581	179503
131	12666	179251
132	12754	179044
133	12848	178926
134	12937	178733
135	13024	178507
136	13114	178335
137	13203	178147
138	13291	177954
139	13364	177555
140	13451	177353
141	13538	177148
142	13621	176887
143	13698	176558
144	13790	176421
145	13888	176362
146	13975	176166
147	14063	175979
148	14146	175733
149	14236	175584
150	14328	175454
151	14413	175235
152	14494	174977
153	14585	174831
154	14661	174518
155	14748	174339
156	14842	174237
157	14924	173998
158	15007	173760
159	15093	173573
160	15173	173316
161	15258	173112
162	15341	172900
163	15436	172818
164	15518	172580
165	15606	172426
166	15696	172282
167	15789	172175
168	15862	171856
169	15943	171627
170	16030	171459
171	16125	171381
172	16215	171249
173	16309	171157
174	16401	171045
175	16493	170935
176	16576	170733
177	16660	170531
178	16745	170353
179	16825	170122
180	16909	169933
181	16994	169754
182	17075	169541
183	17159	169360
184	17238	169123
185	17321	168931
186	17400	168705
187	17480	168484
188	17572	168384
189	17665	168283
190	17741	168034
191	17871	168291
192	17967	168224
193	18052	168056
194	18132	167837
195	18216	167661
196	18346	167909
197	18474	168133
198	18607	168403
199	18742	168681
200	18885	169033
201	19024	169336
202	19118	169239
203	19198	169017
